flag_image,country,currency,code,symbol
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/albania.png,Albania,Lek,ALL,Lek
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/afghanistan.png,Afghanistan,Afghani,AFN,؋
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/argentina.png,Argentina,Peso,ARS,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/aruba.png,Aruba,Guilder,AWG,ƒ
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/australia.png,Australia,Dollar,AUD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/azerbaijan.png,Azerbaijan,Manat,AZN,₼
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bahamas.png,Bahamas,Dollar,BSD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/barbados.png,Barbados,Dollar,BBD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belarus.png,Belarus,Ruble,BYR,p.
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belize.png,Belize,Dollar,BZD,BZ$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bermuda.png,Bermuda,Dollar,BMD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bolivia.png,Bolivia,Boliviano,BOB,$b
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Bosnia_and_Herzegovina.png,Bosnia and Herzegovina,Convertible Marka,BAM,KM
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/botswana.png,Botswana,Pula,BWP,P
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bulgaria.png,Bulgaria,Lev,BGN,лв
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brazil.png,Brazil,Real,BRL,R$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brunei.png,Brunei,Darussalam Dollar,BND,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cambodia.png,Cambodia,Riel,KHR,៛
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/canada.png,Canada,Dollar,CAD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Cayman_Islands.png,Cayman,Dollar,KYD,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/chile.png,Chile,Peso,CLP,$
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/china.png,China,Yuan Renminbi,CNY,¥
https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/colombia.png,Colombia,Peso,COP,$
